ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
IAH,DEN,862,1/08/2007,29.98047,-95.33972
PHL,ORD,678,1/08/2007,39.87195,-75.24114
STL,PHX,1262,1/09/2007,38.74769,-90.35999
MSP,PHX,1276,1/06/2007,44.88055,-93.21692
DCA,DFW,1192,1/02/2007,38.85208,-77.03772
SFO,LAX,337,1/11/2007,37.619,-122.37484
JFK,BOS,187,1/07/2007,40.63975,-73.77893
LGA,DFW,1389,1/01/2007,40.77724,-73.87261
STL,ORD,258,1/10/2007,38.74769,-90.35999
DFW,MCI,460,1/08/2007,32.89595,-97.0372
LGA,PBI,1035,1/09/2007,40.77724,-73.87261
MCO,MIA,192,1/04/2007,28.42889,-81.31603
DFW,LAS,1055,1/05/2007,32.89595,-97.0372
BOS,FLL,1237,1/03/2007,42.36435,-71.00518
FLL,BOS,1237,1/12/2007,26.07258,-80.15275
EWR,SJU,1608,1/07/2007,40.6925,-74.16866
FLL,JFK,1069,1/07/2007,26.07258,-80.15275
GSO,ATL,306,1/08/2007,36.09775,-79.9373
MSP,PIT,726,1/11/2007,44.88055,-93.21692
LAX,ATL,1947,1/05/2007,33.94254,-118.40807
PNS,ATL,271,1/10/2007,30.47331,-87.18744
LAS,DTW,1749,1/12/2007,36.08036,-115.15233
MSP,ATL,907,1/04/2007,44.88055,-93.21692
ATL,MIA,594,1/09/2007,33.64044,-84.42694
SDF,ATL,321,1/08/2007,38.17439,-85.736
DFW,DTW,986,1/07/2007,32.89595,-97.0372
BWI,SLC,1865,1/06/2007,39.1754,-76.6682
CHS,ATL,259,1/07/2007,32.89865,-80.04051
DEN,LGA,1620,1/12/2007,39.85841,-104.667
HPN,RSW,1102,1/10/2007,41.06696,-73.70757
HPN,ORD,738,1/11/2007,41.06696,-73.70757
LBB,IAH,458,1/07/2007,33.66364,-101.82278
CAE,ATL,192,1/01/2007,33.93884,-81.11954
AVP,ORD,632,1/03/2007,41.33815,-75.72427
ORD,ATL,606,1/08/2007,41.9796,-87.90446
GSO,DFW,999,1/08/2007,36.09775,-79.9373
HNL,KOA,163,1/06/2007,21.31869,-157.92241
SGF,DFW,364,1/10/2007,37.24433,-93.38686
SGF,ORD,438,1/07/2007,37.24433,-93.38686
CID,DFW,685,1/10/2007,41.88459,-91.71087
CMI,ORD,135,1/04/2007,40.03925,-88.27806
DFW,BTR,383,1/11/2007,32.89595,-97.0372
